#FOTO_ID;DATEIPFAD;TITEL;BESCHREIBUNG;DUMMY_DATA
1;./data/images/AufDemBodenGebliebenerStellplatz.jpg;Auf dem Boden gebliebener Stellplatz;Ein "Auf dem Boden gebliebener Stellplatz" mit Enten ist ein charmantes Szenario, das eine friedliche und natürliche Umgebung für Enten schafft. Es ist ein Ort, an dem Enten frei herumlaufen und sich niederlassen können, ohne dass sie in Gefangenschaft gehalten werden.Der Stellplatz selbst besteht aus einer offenen Fläche auf dem Boden, die idealerweise mit Gras, Sand oder Erde bedeckt ist. Es gibt keine künstlichen Barrieren wie Zäune oder Käfige, sondern lediglich eine begrenzte Umgebung, die den Enten Schutz bietet. In der Nähe des Stellplatzes sollte Wasser in Form eines Teichs, eines Flusses oder eines Sees vorhanden sein, in dem die Enten schwimmen und ihre natürlichen Verhaltensweisen ausleben können.;NULL
2;./data/images/SingenderStellplatz.jpg;Singender Stellplatz;Der "Singende Stellplatz" ist ein verzauberter Ort, an dem die Klänge der Natur in einem harmonischen Chor mitschwingen und jeden Besucher mit ihrer melodischen Schönheit erfüllen.;NULL
3;./data/images/SpielzeugStörung.jpg;Spielzeug Störung;Die "Spielzeugstörung" ist ein chaotisches, aber lustiges Szenario, in dem Spielzeug zum Leben erwacht und für allerlei verrückte und abenteuerliche Situationen sorgt.;NULL
4;./data/images/StellplatzFürDenAugenblick.jpg;Stellplatz Für den Augenblick;Der "Stellplatz für den Augenblick" ist ein magischer Ort, an dem man die Zeit vergessen kann und sich voll und ganz im Hier und Jetzt verlieren kann.;NULL
5;./data/images/StellplatzFürDenGewinnerDesKarlsruherEntenrennens.jpg;Stellplatz für den Gewinner des Karlsruher Entenrennens;Der "Stellplatz für den Gewinner des Karlsruher Entenrennens" ist ein exklusiver und ehrenvoller Ort, der dem siegreichen Entenrennen-Champion einen besonderen Raum bietet, um seine wohlverdiente Anerkennung und den Ruhm zu genießen.;NULL
6;./data/images/StellplatzFürDieGanzeEnte.jpg;Stellplatz für die ganze Ente;Der "Stellplatz für die ganze Ente" ist ein einladender und sicherer Ort, an dem Entenfamilien zusammenkommen, spielen und wachsen können, und der ihnen ein Zuhause voller Liebe und Geborgenheit bietet.;NULL
7;./data/images/ÜberflutungsStörung.jpg;Überflutungs Störung;Die "Überflutungsstörung" ist eine beunruhigende Situation, in der Wassermassen unkontrolliert in ein Gebiet eindringen und sowohl Verwüstung als auch Gefahr mit sich bringen.;NULL
8;./data/images/AufDemBodenGebliebenerStellplatz.jpg;Auf dem boden gebliebener Stellplatz;Der "Auf dem Boden gebliebene Stellplatz" ist ein einfacher und naturnaher Ort, an dem Enten frei herumlaufen können, ohne in Gefangenschaft zu sein, und ihre natürlichen Verhaltensweisen ausleben dürfen.;NULL
9;./data/images/EntenseeStellplatz.jpg;Entensee-Stellplatz;Der "Entensee-Stellplatz" ist ein idyllisches Paradies für Enten, wo sie friedlich schwimmen, spielen und ihre natürliche Umgebung in vollen Zügen genießen können.;NULL
10;./data/images/MajestätischerStellplatz.jpg;Majestätischer Stellplatz;Der "Majestätische Stellplatz" ist ein beeindruckendes und erhabenes Areal, das eine Atmosphäre von königlicher Pracht und Schönheit vermittelt.;NULL
11;./data/images/StellplatzFuerDieGanzKleineEnte.jpg;Stellplatz für die ganz kleine Ente;Der "Stellplatz für die ganz kleine Ente" ist ein sicherer und einladender Ort, an dem Entenküken spielen und wachsen können, während sie von ihren Eltern beschützt werden.;NULL
12;./data/images/SuedseeStellplatz.jpg;Südsee Stellplatz;Der "Südsee Stellplatz" ist ein tropisches Paradies, in dem Enten in einer exotischen Umgebung schwimmen und spielen können.;NULL
13;./data/images/ZurNormalenEnteStellplatz.jpg;Stellplatz zur normalen Ente;Der normalste Stellplatz für die normalsten Gäste;NULL
14;./data/images/FrontalerStellplatz.jpg;Frontaler Stellplatz;Der frontale Stellplatz, da unsere Gäste immer an erster Stelle stehen;NULL
15;./data/images/SpielzeugStellplatz.jpg;Spielzeug Stellplatz;Der Stellplatz mit viel Spielzeug, damit auch immer alle Spaß haben;NULL
